admin_audit_logs	admin_audit_logs_pkey	CREATE UNIQUE INDEX admin_audit_logs_pkey ON public.admin_audit_logs USING btree (id)
sprite_images	sprite_images_species_variant_level_key	CREATE UNIQUE INDEX sprite_images_species_variant_level_key ON public.sprite_images USING btree (species, variant, level)
sprite_interaction_log	idx_sprite_log_user_action	CREATE INDEX idx_sprite_log_user_action ON public.sprite_interaction_log USING btree (user_id, action_type, created_at DESC)
sprite_interaction_log	sprite_interaction_log_pkey	CREATE UNIQUE INDEX sprite_interaction_log_pkey ON public.sprite_interaction_log USING btree (id)
sprite_items	sprite_items_code_key	CREATE UNIQUE INDEX sprite_items_code_key ON public.sprite_items USING btree (code)
sprite_items	sprite_items_pkey	CREATE UNIQUE INDEX sprite_items_pkey ON public.sprite_items USING btree (id)
sprite_text_entries	idx_sprite_text_entries_level	CREATE INDEX idx_sprite_text_entries_level ON public.sprite_text_entries USING btree (level)
sprite_text_entries	idx_sprite_text_entries_species_variant	CREATE INDEX idx_sprite_text_entries_species_variant ON public.sprite_text_entries USING btree (species, variant)
sprite_text_entries	idx_sprite_text_entries_status	CREATE INDEX idx_sprite_text_entries_status ON public.sprite_text_entries USING btree (status)
sprite_text_entries	sprite_text_entries_pkey	CREATE UNIQUE INDEX sprite_text_entries_pkey ON public.sprite_text_entries USING btree (id)
story_narratives	idx_story_narratives_project	CREATE INDEX idx_story_narratives_project ON public.story_narratives USING btree (project_id, status)
story_narratives	story_narratives_pkey	CREATE UNIQUE INDEX story_narratives_pkey ON public.story_narratives USING btree (id)
subscription_orders	subscription_orders_pkey	CREATE UNIQUE INDEX subscription_orders_pkey ON public.subscription_orders USING btree (id)
subscriptions	subscriptions_pkey	CREATE UNIQUE INDEX subscriptions_pkey ON public.subscriptions USING btree (id)
system_presets	system_presets_pkey	CREATE UNIQUE INDEX system_presets_pkey ON public.system_presets USING btree (id)
template_comments	idx_template_comments_template	CREATE INDEX idx_template_comments_template ON public.template_comments USING btree (template_id)
template_comments	template_comments_pkey	CREATE UNIQUE INDEX template_comments_pkey ON public.template_comments USING btree (id)
template_likes	idx_template_likes_template	CREATE INDEX idx_template_likes_template ON public.template_likes USING btree (template_id)
template_likes	template_likes_pkey	CREATE UNIQUE INDEX template_likes_pkey ON public.template_likes USING btree (id)
template_purchases	idx_template_purchases_user	CREATE INDEX idx_template_purchases_user ON public.template_purchases USING btree (user_id)
template_purchases	template_purchases_pkey	CREATE UNIQUE INDEX template_purchases_pkey ON public.template_purchases USING btree (id)
template_ratings	idx_template_ratings_template	CREATE INDEX idx_template_ratings_template ON public.template_ratings USING btree (template_id)
template_ratings	template_ratings_pkey	CREATE UNIQUE INDEX template_ratings_pkey ON public.template_ratings USING btree (id)
template_versions	idx_template_versions_user_template	CREATE INDEX idx_template_versions_user_template ON public.template_versions USING btree (user_template_id)
template_versions	template_versions_pkey	CREATE UNIQUE INDEX template_versions_pkey ON public.template_versions USING btree (id)
templates	idx_templates_category	CREATE INDEX idx_templates_category ON public.templates USING btree (category)
templates	idx_templates_deleted	CREATE INDEX idx_templates_deleted ON public.templates USING btree (deleted_at)
templates	idx_templates_source_audit	CREATE INDEX idx_templates_source_audit ON public.templates USING btree (source, audit_status)
templates	templates_pkey	CREATE UNIQUE INDEX templates_pkey ON public.templates USING btree (id)
token_consumption_logs	idx_token_consumption_created_at	CREATE INDEX idx_token_consumption_created_at ON public.token_consumption_logs USING btree (created_at)
token_consumption_logs	idx_token_consumption_user_id	CREATE INDEX idx_token_consumption_user_id ON public.token_consumption_logs USING btree (user_id)
token_consumption_logs	token_consumption_logs_pkey	CREATE UNIQUE INDEX token_consumption_logs_pkey ON public.token_consumption_logs USING btree (id)
token_packages	token_packages_pkey	CREATE UNIQUE INDEX token_packages_pkey ON public.token_packages USING btree (id)
token_recharge_orders	token_recharge_orders_pkey	CREATE UNIQUE INDEX token_recharge_orders_pkey ON public.token_recharge_orders USING btree (id)
transactions	idx_transactions_user	CREATE INDEX idx_transactions_user ON public.transactions USING btree (user_id)
transactions	transactions_pkey	CREATE UNIQUE INDEX transactions_pkey ON public.transactions USING btree (id)
units	idx_units_deleted_at	CREATE INDEX idx_units_deleted_at ON public.units USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)
units	idx_units_volume_status	CREATE INDEX idx_units_volume_status ON public.units USING btree (volume_id, status)
units	units_pkey	CREATE UNIQUE INDEX units_pkey ON public.units USING btree (id)
user_api_keys	idx_user_api_keys_key_hash	CREATE INDEX idx_user_api_keys_key_hash ON public.user_api_keys USING btree (key_hash)
user_api_keys	idx_user_api_keys_user_id	CREATE INDEX idx_user_api_keys_user_id ON public.user_api_keys USING btree (user_id)
user_api_keys	user_api_keys_key_hash_key	CREATE UNIQUE INDEX user_api_keys_key_hash_key ON public.user_api_keys USING btree (key_hash)
user_api_keys	user_api_keys_pkey	CREATE UNIQUE INDEX user_api_keys_pkey ON public.user_api_keys USING btree (id)
user_sprite_items	idx_user_sprite_items_created_at	CREATE INDEX idx_user_sprite_items_created_at ON public.user_sprite_items USING btree (created_at)
user_sprite_items	idx_user_sprite_items_item_code	CREATE INDEX idx_user_sprite_items_item_code ON public.user_sprite_items USING btree (item_code)
user_sprite_items	idx_user_sprite_items_updated_at	CREATE INDEX idx_user_sprite_items_updated_at ON public.user_sprite_items USING btree (updated_at)
user_sprite_items	user_sprite_items_pkey	CREATE UNIQUE INDEX user_sprite_items_pkey ON public.user_sprite_items USING btree (id)
user_sprite_items	user_sprite_items_user_id_item_code_key	CREATE UNIQUE INDEX user_sprite_items_user_id_item_code_key ON public.user_sprite_items USING btree (user_id, item_code)
user_sprites	user_sprites_pkey	CREATE UNIQUE INDEX user_sprites_pkey ON public.user_sprites USING btree (id)
user_sprites	user_sprites_user_id_key	CREATE UNIQUE INDEX user_sprites_user_id_key ON public.user_sprites USING btree (user_id)
user_subscriptions	idx_user_subscriptions_user_id	CREATE INDEX idx_user_subscriptions_user_id ON public.user_subscriptions USING btree (user_id)
user_subscriptions	user_subscriptions_pkey	CREATE UNIQUE INDEX user_subscriptions_pkey ON public.user_subscriptions USING btree (id)
user_templates	idx_user_templates_category	CREATE INDEX idx_user_templates_category ON public.user_templates USING btree (category)
user_templates	idx_user_templates_deleted	CREATE INDEX idx_user_templates_deleted ON public.user_templates USING btree (deleted_at)
user_templates	idx_user_templates_project	CREATE INDEX idx_user_templates_project ON public.user_templates USING btree (project_id)
user_templates	idx_user_templates_user	CREATE INDEX idx_user_templates_user ON public.user_templates USING btree (user_id)
user_templates	user_templates_pkey	CREATE UNIQUE INDEX user_templates_pkey ON public.user_templates USING btree (id)
user_token_accounts	user_token_accounts_pkey	CREATE UNIQUE INDEX user_token_accounts_pkey ON public.user_token_accounts USING btree (id)
user_token_accounts	user_token_accounts_user_id_key	CREATE UNIQUE INDEX user_token_accounts_user_id_key ON public.user_token_accounts USING btree (user_id)
users	users_email_unique	CREATE UNIQUE INDEX users_email_unique ON public.users USING btree (email)
users	users_phone_unique	CREATE UNIQUE INDEX users_phone_unique ON public.users USING btree (phone)
users	users_pkey	CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
volumes	idx_volumes_deleted_at	CREATE INDEX idx_volumes_deleted_at ON public.volumes USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)
volumes	idx_volumes_project_status	CREATE INDEX idx_volumes_project_status ON public.volumes USING btree (project_id, status)
volumes	volumes_pkey	CREATE UNIQUE INDEX volumes_pkey ON public.volumes USING btree (id)
withdrawal_requests	idx_withdrawal_requests_user	CREATE INDEX idx_withdrawal_requests_user ON public.withdrawal_requests USING btree (user_id)
withdrawal_requests	withdrawal_requests_pkey	CREATE UNIQUE INDEX withdrawal_requests_pkey ON public.withdrawal_requests USING btree (id)
